Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
11/17/2022,15.0,14.48,26.84,84.31,0.0
11/18/2022,11.0,14.23,26.61,83.5,0.0
11/19/2022,4.0,14.08,29.81,82.06,0.0
11/20/2022,11.0,17.8,30.74,83.88,0.87
11/21/2022,8.0,18.87,29.22,85.81,0.01
11/22/2022,8.0,16.55,27.74,83.94,0.0
11/23/2022,9.0,15.12,26.26,86.31,0.0
11/24/2022,9.0,14.48,27.15,83.75,0.0
11/25/2022,10.0,14.76,30.77,78.62,0.0
11/26/2022,11.0,17.77,29.19,82.5,0.0
11/27/2022,11.0,18.11,28.17,80.75,0.02
11/28/2022,4.0,18.13,29.08,87.0,0.12
11/29/2022,5.0,21.12,30.15,87.75,0.21
11/30/2022,7.0,20.84,29.78,87.31,0.16
12/1/2022,0.0,18.41,28.92,85.56,0.07
12/2/2022,16.0,15.86,27.15,86.38,0.0
12/3/2022,11.0,14.97,26.22,84.31,0.0
12/4/2022,16.0,15.56,26.61,83.81,0.0
12/5/2022,12.0,14.01,27.12,85.19,0.0
12/6/2022,6.0,14.55,27.07,76.75,0.0
12/7/2022,17.0,13.81,26.05,77.12,0.0
12/8/2022,16.0,13.66,26.69,75.12,0.0
12/9/2022,14.0,13.18,25.44,74.38,0.0
12/10/2022,20.0,14.97,25.79,80.88,0.0
12/11/2022,14.0,14.21,25.42,82.38,0.0
12/12/2022,21.0,12.57,24.78,82.38,0.0
12/13/2022,12.0,12.83,24.41,84.75,0.0
12/14/2022,20.0,13.05,24.43,85.44,0.0
12/15/2022,15.0,12.61,23.73,85.31,0.0
12/16/2022,11.0,11.45,23.78,87.88,0.0
12/17/2022,9.0,12.4,25.42,78.94,0.0
12/18/2022,7.0,14.56,25.26,73.81,0.0
12/19/2022,5.0,14.59,25.65,78.69,0.0
12/20/2022,11.0,15.02,24.9,75.5,0.0
12/21/2022,13.0,13.1,24.59,80.5,0.0
12/22/2022,9.0,12.21,23.89,79.19,0.0
12/23/2022,4.0,12.61,24.26,82.38,0.0
12/24/2022,6.0,11.12,24.16,77.62,0.0
12/25/2022,5.0,11.31,24.91,75.5,0.0
12/26/2022,12.0,14.76,25.9,74.38,0.0
12/27/2022,10.0,14.37,23.97,86.0,2.95
12/28/2022,19.0,15.98,24.68,90.62,14.39
12/29/2022,16.0,12.62,23.73,83.12,0.16
12/30/2022,12.0,11.03,22.0,76.81,0.0
12/31/2022,4.0,10.12,22.12,79.62,0.0
1/1/2023,6.0,10.81,22.9,77.38,0.0
1/2/2023,9.0,9.93,23.33,76.75,0.0
1/3/2023,19.0,9.37,23.44,76.62,0.0
1/4/2023,19.0,8.75,22.98,79.94,0.0
1/5/2023,5.0,8.93,24.08,81.62,0.0
1/6/2023,5.0,9.77,23.87,82.5,0.0
1/7/2023,10.0,10.9,25.05,83.94,0.0
1/8/2023,9.0,13.04,26.49,81.81,0.0
1/9/2023,9.0,12.14,26.35,79.81,0.0
1/10/2023,10.0,14.4,26.51,75.38,0.0
1/11/2023,16.0,11.81,24.77,75.62,0.0
1/12/2023,8.0,11.77,23.69,72.94,0.0
1/13/2023,7.0,10.0,23.9,71.5,0.0
1/14/2023,10.0,10.92,24.5,72.62,0.0
1/15/2023,2.0,12.8,24.27,77.88,0.0
1/16/2023,4.0,11.14,23.51,77.88,0.0
1/17/2023,12.0,10.6,23.37,76.31,0.0
1/18/2023,12.0,9.54,22.59,75.38,0.0
1/19/2023,17.0,8.87,22.49,73.12,0.0
1/20/2023,10.0,8.94,23.34,67.5,0.0
1/21/2023,12.0,9.36,24.58,65.81,0.01
1/22/2023,14.0,9.86,24.73,69.56,0.0
1/23/2023,13.0,10.2,25.47,74.62,0.0
1/24/2023,10.0,11.76,26.86,71.06,0.0
1/25/2023,8.0,13.0,26.62,69.88,0.0
1/26/2023,7.0,12.3,27.04,75.25,0.0
1/27/2023,5.0,14.59,26.99,78.31,0.0
1/28/2023,7.0,14.11,27.57,78.94,0.0
1/29/2023,9.0,13.76,27.7,72.31,0.0
1/30/2023,9.0,12.63,28.95,71.31,0.0
1/31/2023,7.0,13.77,27.57,74.19,0.35
2/1/2023,7.0,14.65,26.91,74.56,0.0
2/2/2023,2.0,12.26,26.91,65.56,0.0
2/3/2023,3.0,9.94,26.21,63.62,0.0
2/4/2023,18.0,11.19,25.93,68.88,0.0
