Date,Diarrhea,Minimum Temperature,Maximum Temperature,Humidity,Preceptation
12/9/2022,18.0,12.84,25.26,78.88,0.0
12/10/2022,23.0,14.03,26.13,77.06,0.0
12/11/2022,10.0,13.72,26.31,73.12,0.0
12/12/2022,14.0,13.63,26.31,71.12,0.0
12/13/2022,13.0,15.06,26.62,67.38,0.0
12/14/2022,14.0,15.11,26.23,68.5,0.0
12/15/2022,7.0,12.69,25.77,67.12,0.0
12/16/2022,13.0,10.7,24.95,66.0,0.0
12/17/2022,10.0,10.53,24.66,66.56,0.0
12/18/2022,17.0,12.0,24.87,65.88,0.0
12/19/2022,12.0,14.68,26.05,72.19,0.0
12/20/2022,21.0,13.15,25.9,77.94,0.0
12/21/2022,9.0,12.68,25.41,75.25,0.0
12/22/2022,17.0,12.15,24.89,69.94,0.0
12/23/2022,25.0,11.9,26.59,62.75,0.0
12/24/2022,20.0,12.49,26.43,64.38,0.0
12/25/2022,34.0,15.3,27.86,68.0,0.0
12/26/2022,20.0,15.22,28.33,73.94,0.02
12/27/2022,12.0,16.24,28.2,74.25,0.81
12/28/2022,17.0,13.58,24.96,80.06,0.77
12/29/2022,39.0,9.91,24.45,66.81,0.0
12/30/2022,37.0,11.8,24.12,62.88,0.0
12/31/2022,49.0,10.94,25.1,73.19,0.0
1/1/2023,17.0,11.53,24.78,76.94,0.0
1/2/2023,8.0,11.55,24.51,76.44,0.0
1/3/2023,14.0,10.92,24.17,77.0,0.0
1/4/2023,8.0,9.62,23.23,77.19,0.0
1/5/2023,8.0,8.87,23.73,75.62,0.0
1/6/2023,16.0,8.09,24.09,72.12,0.05
1/7/2023,22.0,8.12,23.51,73.25,0.0
1/8/2023,35.0,9.13,24.37,74.06,0.0
1/9/2023,36.0,9.59,26.29,71.88,0.0
1/10/2023,35.0,10.08,26.94,63.56,0.0
1/11/2023,13.0,9.06,24.9,62.88,0.0
1/12/2023,36.0,9.44,25.03,57.88,0.0
1/13/2023,45.0,12.12,26.55,56.75,0.0
